drug,T0,T1,T2,T3,T4
A,20.69,20.36,20.91,22.99,23.07
A,20.34,19.89,21.43,24.02,24.11
A,20.52,20.41,22.12,23.68,23.24
A,20.86,20.41,22.12,24.02,23.59
A,21.9,21.96,23.5,25.23,24.62
B,20.86,21.79,21.94,24.89,26.52
B,21.03,21.96,22.12,24.54,25.83
B,22.07,23.34,23.32,25.58,27.38
B,20.17,20.52,20.74,23.51,25.49
B,20.34,20.76,21.6,23.51,25.83
C,22.59,21.62,21.94,25.58,25.14
C,22.24,22.33,22.46,27.82,25.66
C,21.21,22.31,22.29,26.96,26.35
C,21.21,21.96,21.6,27.3,24.62
C,21.55,22.48,21.94,26.78,25.31
