no,group,x1,x2,x3,x4,x5,x6,x7
1,1,2,2,3,3,3,2,2
2,1,2,2,2,2,3,1,3
3,1,2,2,2,2,2,2,2
4,1,2,2,2,2,3,1,3
5,1,2,2,3,2,2,3,3
6,1,2,3,2,2,2,2,2
7,1,1,2,2,2,2,2,2
8,1,2,1,3,2,1,1,2
9,1,2,2,2,2,1,1,3
10,1,1,2,2,1,3,3,4
11,1,2,2,2,1,3,1,2
12,1,2,2,2,2,3,4,1
13,1,2,2,2,2,2,2,1
14,1,2,4,2,2,3,2,2
15,1,1,1,1,1,1,1,1
16,1,2,3,2,2,4,4,4
17,1,2,1,2,2,2,2,3
18,1,1,1,1,1,1,2,1
19,1,3,3,3,3,3,2,2
20,1,2,3,2,2,2,2,2
21,1,2,3,2,2,2,2,1
22,1,2,2,2,2,2,2,2
23,1,2,3,2,2,3,3,3
24,1,2,3,2,2,3,2,1
25,1,2,2,2,1,1,1,1
26,1,2,3,3,2,2,1,2
27,1,2,2,2,2,2,1,1
28,1,2,3,2,2,3,2,2
29,1,2,2,2,2,2,2,2
30,1,2,2,2,1,1,2,1
31,1,2,2,2,2,3,1,3
32,1,2,2,3,1,1,1,1
33,1,3,3,3,3,3,1,1
34,1,2,2,3,2,4,3,3
35,1,2,2,2,2,2,2,2
36,1,3,3,2,2,2,2,2
37,1,2,2,2,2,3,3,3
38,1,2,2,2,3,3,2,2
39,1,2,3,2,2,2,2,2
40,1,2,3,3,2,3,4,2
41,1,2,2,2,2,2,2,2
42,1,2,4,2,2,4,3,4
43,1,3,3,3,3,4,1,2
44,1,2,3,2,2,2,2,2
45,1,2,3,2,2,3,3,3
46,1,3,3,3,3,3,3,3
47,1,2,1,2,2,2,2,2
48,1,2,2,2,2,3,2,3
49,1,2,2,2,2,3,3,3
50,1,2,2,2,2,3,3,2
51,2,2,2,2,2,2,2,1
52,2,2,4,2,2,3,2,2
53,2,1,1,1,1,1,1,1
54,2,2,3,2,2,2,2,2
55,2,2,3,2,2,3,3,3
56,2,3,3,3,3,3,3,3
57,2,2,2,2,1,1,2,1
58,2,2,2,2,2,3,1,3
59,2,2,2,3,1,1,1,1
60,2,3,3,3,3,3,1,1
61,2,2,2,3,2,4,3,3
62,2,2,2,2,2,2,2,2
63,2,2,2,2,2,3,1,3
64,2,2,2,3,2,2,3,3
65,2,2,3,2,2,2,2,2
66,2,1,2,2,2,2,2,2
67,2,2,1,3,2,1,1,2
68,2,2,2,2,2,1,1,3
69,2,1,2,2,1,3,3,4
70,2,2,3,2,2,2,2,2
71,2,2,3,2,2,3,2,2
72,2,2,2,2,2,2,2,2
73,2,2,2,2,1,1,2,1
74,2,2,2,2,2,3,1,3
75,2,2,2,3,1,1,1,1
76,2,3,3,3,3,3,1,1
77,2,2,2,3,2,4,3,3
78,2,2,2,2,2,2,2,2
79,2,3,3,2,2,2,2,2
80,2,2,2,2,2,3,3,3
