X1,X2,X3,X4,Y
5.68,1.9,4.53,8.2,11.2
3.79,1.64,7.32,6.9,8.8
6.02,3.56,6.95,10.8,12.3
4.85,1.07,5.88,8.3,11.6
4.6,2.32,4.05,7.5,13.4
6.05,0.64,1.42,13.6,18.3
4.9,8.5,12.6,8.5,11.1
7.08,3,6.75,11.5,12.1
3.85,2.11,16.28,7.9,9.6
4.65,0.63,6.59,7.1,8.4
4.59,1.97,3.61,8.7,9.3
4.29,1.97,6.61,7.8,10.6
7.97,1.93,7.57,9.9,8.4
6.19,1.18,1.42,6.9,9.6
6.13,2.06,10.35,10.5,10.9
5.71,1.78,8.53,8,10.1
6.4,2.4,4.53,10.3,14.8
6.06,3.67,12.79,7.1,9.1
5.09,1.03,2.53,8.9,10.8
6.13,1.71,5.28,9.9,10.2
5.78,3.36,2.96,8,13.6
5.43,1.13,4.31,11.3,14.9
6.5,6.21,3.47,12.3,16
7.98,7.92,3.37,9.8,13.2
11.54,10.89,1.2,10.5,20
5.84,0.92,8.61,6.4,13.3
3.84,1.2,6.45,9.6,10.4
