group,x1,x2,x3,x4,y1,y2,y3
2,11.3,1.56,53,58,201.99254,209.38706,209.14475999999996
2,15,1.35,52,25,201.80239999999998,202.3396,201.84835
2,16.1,0.89,52,56,197.17005999999998,199.55773999999997,200.11229000000003
2,11.5,0.78,52,47,191.59321999999997,195.08718,196.36778000000004
3,9.6,1.25,51,37,185.38819999999996,189.37139999999997,190.15065
3,12.3,0.97,51,27,188.43537999999995,189.12401999999997,189.94817000000003
3,5.7,0.75,51,28,178.52589999999995,182.25829999999996,184.39255
1,19.5,0.52,51,0,198.26697999999996,190.88261999999997,191.27252000000001
3,12.4,0.46,51,40,184.24083999999996,185.09335999999996,186.99306
2,16.6,1.62,50,12,191.84408000000002,189.62411999999998,188.72102
3,7,1.3,50,77,170.31320000000002,179.8918,181.5933
1,18,1.03,50,0,191.68572,185.84068,185.71103
1,20.53,0.97,50,1,194.51769,187.30088999999995,186.95199
1,18.7,0.85,50,2,191.35729999999998,184.9189,185.05065
1,19.7,0.73,50,0,192.20342,184.70118,184.89853
