age,height,weight
3,62,8.3
4,66,6.3
4,65.5,7.78
5,63.5,7
6,68.2,9.65
6,65.6,7.8
6,68.9,9.15
6,67.5,8.35
7,70.7,9.6
7,68.5,8.25
7,68.7,6.95
8,72.3,10
8,68,7.9
8,70,8.8
8,69.6,10.72
9,73,9.7
9,68.3,8.1
9,75.5,11.8
10,73.5,10.3
10,69.8,7.7
11,74.2,11.2
11,77.8,10.9
11,76.5,11.65
12,79,11.8
13,74.1,8.3
14,85.2,11.5
14,74.5,7.9
14,72,8.74
14,74,8.95
15,82,10.25
15,81.2,11.3
15,64,7.6
15,80.8,10
16,76.3,9.4
16,75.5,9.45
16,74.7,9.4
17,77.5,9.17
17,80.9,10.5
17,82.5,11.4
17,73.8,8.3
18,84.2,12.65
19,78.4,10.2
19,83.2,10.8
20,88.5,13.95
21,81.1,10.9
22,92.8,15.2
23,84,10.4
24,97.7,17
24,84.6,11.1
25,98.3,17.3
