x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
91.01,4.34,389,99.06,1.23,25.46,93.15,3.56,97.51,61.660000000000004
91.02,3.45,271,88.28,0.85,23.55,94.31,2.44,97.94,73.33
91.03,4.38,385,103.97,1.21,26.54,92.53,4.0200000000000005,98.48,76.79
91.04,4.18,377,99.48,1.19,26.89,93.86,2.92,99.41,63.160000000000004
91.05,4.32,378,102.01,1.19,27.63,93.18,1.99,99.71000000000001,80
91.06,4.13,349,97.55,1.1,27.34,90.63,4.38,99.03,63.160000000000004
91.07000000000001,4.57,361,91.66,1.1400000000000001,24.89,90.60000000000001,2.73,99.69,73.53
91.08,4.3100000000000005,209,62.18,0.52,31.740000000000002,91.67,3.65,99.48,61.11
91.09,4.0600000000000005,425,83.27,0.93,26.560000000000002,93.81,3.09,99.48,70.73
91.10000000000001,4.43,458,92.39,0.9500000000000001,24.26,91.12,4.21,99.76,79.07000000000001
91.11,4.13,496,95.43,1.03,28.75,93.43,3.5,99.10000000000001,80.49
91.12,4.1,514,92.99,1.07,26.310000000000002,93.24,4.22,100,78.95
92.01,4.11,490,80.9,0.97,26.900000000000002,93.68,4.97,99.77,80.53
92.02,3.5300000000000002,344,79.66,0.68,31.87,94.77,3.59,100,81.97
92.03,4.16,508,90.98,1.01,29.43,95.75,2.77,98.72,62.86
92.04,4.17,545,92.98,1.08,26.92,94.89,3.14,99.41,82.35000000000001
92.05,4.16,507,95.10000000000001,1.01,25.82,94.41,2.8000000000000003,99.35000000000001,60.61
92.06,4.86,540,93.17,1.07,27.59,93.47,2.77,99.8,70.21000000000001
92.07000000000001,5.0600000000000005,552,84.38,1.1,27.560000000000002,95.15,3.1,98.63,69.23
92.08,4.03,453,72.69,0.9,26.03,91.94,4.5,99.05,60.42
92.09,4.15,529,86.53,1.05,22.400000000000002,91.52,3.84,98.58,68.42
92.10000000000001,3.94,515,91.01,1.02,25.44,94.88,2.56,99.36,73.91
92.11,4.12,552,89.14,1.1,25.7,92.65,3.87,95.52,66.67
92.12,4.42,597,90.18,1.18,26.94,93.03,3.7600000000000002,99.28,73.81
93.01,3.0500000000000003,437,78.81,0.87,23.05,94.46000000000001,4.03,96.22,87.10000000000001
93.02,3.94,477,87.34,0.9500000000000001,26.78,91.78,4.57,94.28,87.34
93.03,4.14,638,88.57000000000001,1.27,26.53,95.16,1.67,94.5,91.67
93.04,3.87,583,89.82000000000001,1.16,22.66,93.43,3.5500000000000003,94.49,89.07000000000001
93.05,4.08,552,90.19,1.1,22.53,90.36,3.47,97.88,87.14
93.06,4.14,551,90.81,1.09,23.06,91.65,2.47,97.72,87.13
93.07000000000001,4.04,574,81.36,1.1400000000000001,26.650000000000002,93.74,1.61,98.2,93.02
93.08,3.93,515,76.87,1.02,23.88,93.82000000000001,3.09,95.46000000000001,88.37
93.09,3.9,555,80.58,1.1,23.080000000000002,94.38,2.06,96.82000000000001,91.79
93.10000000000001,3.62,554,87.21000000000001,1.1,22.5,92.43,3.22,97.16,87.77
93.11,3.75,586,90.31,1.12,23.73,92.47,2.07,97.74000000000001,93.89
93.12,3.77,627,86.47,1.24,23.22,91.17,3.4,98.98,89.8
