group,diff_tri
1,2.42
1,3.36
1,4.32
1,2.34
1,2.68
1,2.95
1,1.56
1,3.11
1,1.81
1,1.77
1,1.98
1,2.63
1,2.86
1,2.93
1,2.17
1,2.72
1,2.65
1,2.22
1,2.9
1,2.97
1,3.3
1,4.04
1,3.53
1,3.56
1,3.85
1,4.07
1,3.52
1,3.93
1,4.19
1,2.96
1,2.36
1,2.56
1,2.52
1,2.27
1,2.98
1,3.72
1,2.8
1,3.57
1,4.02
1,2.31
2,2.86
2,2.28
2,2.39
2,2.28
2,2.48
2,2.28
2,3.21
2,3.23
2,2.32
2,2.68
2,2.66
2,2.32
2,2.61
2,3.64
2,2.58
2,2.65
2,2.66
2,2.68
2,1.65
2,4.02
2,3.53
2,3.59
2,3.34
2,1.66
2,4.59
2,3.13
2,2.64
2,2.56
2,3.5
2,3.25
2,3.48
2,2.42
2,2.41
2,2.66
2,4.29
2,3.7
2,3.04
2,1.81
2,2.97
2,2.68
3,0.89
3,1.06
3,1.08
3,1.27
3,1.63
3,1.89
3,1.19
3,2.17
3,2.28
3,1.72
3,1.98
3,1.74
3,2.16
3,3.37
3,2.97
3,1.69
3,0.94
3,2.11
3,2.81
3,2.52
3,1.37
3,3.93
3,2.33
3,2.98
3,3
3,3.55
3,2.96
3,3.3
3,3.16
3,2.59
3,1.31
3,2.51
3,1.88
3,1.41
3,3.19
3,1.92
3,2.47
3,1.02
3,2.1
3,3.71
