no,group,x1,x2,x3
1,0,121,85,200
2,0,93,50,210
3,0,62,27,600
4,0,120,64,1325
5,0,151,79,650
6,0,117,68,700
7,0,168,79,870
8,0,96,38,300
9,0,146,80,860
10,0,110,73,315
11,0,121,33,150
12,0,172,90,520
13,0,191,88,440
14,0,87,53,470
15,0,132,68,240
16,0,143,72,200
17,0,131,81,320
18,0,161,66,540
19,0,91,38,625
20,0,115,60,1370
21,0,156,90,1030
22,0,130,49,120
23,0,107,49,1555
24,0,160,93,390
25,0,145,75,440
26,0,83,14,5
27,0,145,72,570
28,0,93,44,150
29,0,111,53,1265
30,0,74,28,200
31,0,150,98,100
32,0,122,64,90
33,0,105,46,1085
34,0,51,18,700
35,0,53,16,250
36,0,46,16,50
37,1,222,104,675
38,1,232,84,450
39,1,250,110,950
40,1,209,70,270
41,1,180,105,420
42,1,192,73,325
43,1,179,104,700
44,1,174,99,350
45,1,244,122,275
46,1,122,54,600
47,1,220,120,850
48,1,258,152,660
49,1,176,82,300
50,1,132,72,410
51,1,180,111,195
52,1,242,118,330
53,1,260,96,315
54,1,239,116,250
