group,x1,x2,x3,x4,flag
1,16,0.88,51,0,1
1,16.1,0.62,53,2,1
1,20.4,1.03,48,6,1
1,22.2,0.82,54,0,1
1,24.3,0.97,54,0,1
1,32.23,0.79,52,9,1
1,20.2,0.85,54,0,1
1,25.41,0.71,58,12,1
1,16.6,0.54,55,6,1
1,15.3,1.03,50,0,1
1,28.75,0.48,53,2,1
1,24.23,1.01,54,0,1
1,16.5,0.85,51,0,1
1,20.2,0.78,52,2,1
1,20,0.7,54,5,1
1,20.53,0.97,50,1,1
1,21.21,0.51,52,0,1
1,22.01,0.68,52,0,1
1,18.7,0.71,53,0,1
1,18.4,0.67,54,1,1
1,20.15,1.04,49,0,1
1,19.5,0.52,51,0,1
1,16.4,1.03,51,3,1
1,18.7,1.51,50,2,1
1,17.08,0.71,54,11,1
1,15.9,1.07,52,7,1
1,19.4,1.03,54,2,1
1,20.71,0.66,52,4,1
1,20.2,1.08,51,6,1
1,18.7,0.75,54,2,1
1,15.5,0.5,52,14,1
1,24.9,0.82,51,0,1
1,20.2,0.95,51,0,1
1,19.7,0.73,50,0,1
1,21.8,0.91,53,0,1
1,18,0.8,53,0,1
1,16.1,2.94,51,0,1
1,18.5,0.64,50,0,1
1,19.8,0.93,55,6,1
1,24.2,0.44,54,7,1
2,11.3,1.48,58,29,1
2,10,0.92,54,20,1
2,8.3,0.94,55,51,1
2,16.1,0.82,57,43,1
2,12,0.7,60,95,1
2,12.4,0.92,59,28,1
2,17,1.59,63,57,1
2,4.5,0.44,58,25,1
2,10.4,1.59,59,22,1
2,13.9,1.28,59,25,1
2,7.1,1.34,60,27,1
2,11.7,1.94,57,2,1
2,16.1,0.89,52,56,1
2,21,1.23,57,55,1
2,11.5,0.78,52,47,1
2,11,0.55,56,67,1
2,23.1,1.62,58,49,1
2,11.6,1.65,61,10,1
2,15.8,1.52,55,7,1
2,7.5,0.35,52,25,1
2,12.7,1.28,55,54,1
2,9.8,0.9,54,57,1
2,8,0.65,59,35,1
2,18.3,1.73,54,93,1
2,13.7,0.95,55,35,1
2,12,1.14,56,31,1
2,7.9,1.76,56,54,1
3,5.7,0.75,51,28,1
3,12.4,0.44,57,56,1
3,10.4,0.39,59,43,1
3,9.6,1.25,51,7,1
3,5.9,0.7,55,37,1
3,11.7,0.71,54,39,1
3,6.4,1.25,58,42,1
3,10.6,1.37,59,42,1
3,4.8,1.09,62,95,1
3,16.6,1,55,28,1
3,8,1.3,50,77,1
3,14.6,0.7,56,30,1
3,10.4,0.49,56,38,1
3,12.3,0.97,51,27,1
3,10.1,0.58,58,2,1
3,14.1,0.83,55,60,1
3,4.3,0.54,58,105,1
3,16.6,0.85,49,39,1
2,11.3,1.56,53,58,0
2,15,1.35,52,25,0
2,16.1,0.89,52,56,0
2,11.5,0.78,52,47,0
3,9.6,1.25,51,37,0
3,12.3,0.97,51,27,0
3,5.7,0.75,51,28,0
1,19.5,0.52,51,0,0
3,12.4,0.46,51,40,0
2,16.6,1.62,50,12,0
3,7,1.3,50,77,0
1,18,1.03,50,0,0
1,20.53,0.97,50,1,0
1,18.7,0.85,50,2,0
1,19.7,0.73,50,0,0
