x1,x2,x3,x4,x5,x6,x7,x8,x9
3.68,5.07,1.9,3.66,8.82,1.71,4.42,4.12,2.24
4.3,6.58,2.85,4.5,10.6,2.1,5.81,5.1,2.81
4.8,6.66,2.52,4.13,8.96,2.44,5.03,4.77,3.21
4.16,6.52,2.29,3.93,8.61,2.06,4.29,4.11,2.61
6.14,10.7,3.58,8.34,23.6,2.29,12.1,8.85,2.91
3.87,5.85,2.07,3.93,9.56,1.87,5.2,4.47,2.38
3.91,6.2,2.31,4,10.1,1.9,5.39,4.8,2.49
3.37,5.52,1.86,3.75,9.45,1.58,5,4.03,1.94
5.99,10.3,3.58,8.08,23.3,2.24,11.9,8.75,2.94
2.37,4.12,1.27,3.14,8.98,0.956,4.66,3.46,1.13
2.99,5.2,1.77,3.76,10,1.32,5.31,3.97,1.52
3.65,5.22,2.05,3.37,8.25,1.73,3.99,4.05,2.38
4.06,6.47,2.29,3.92,8.41,2,4.61,4.05,2.52
4.53,6.42,2.45,3.86,7.97,2.24,4.54,4.3,3.05
4.11,6.64,2.34,4.53,10.6,2,5.79,4.68,2.46
3.96,6.05,2.18,3.55,7.98,1.95,4.52,4.02,2.53
3.69,6.14,2.16,3.41,7.24,1.84,4.08,3.47,2.22
3.58,5.77,1.95,3.09,6.56,1.82,3.75,3.36,2.27
6.18,10.9,3.84,8.24,24,2.32,12.2,8.97,2.97
4.59,7.21,2.44,4.19,8.76,2.34,5,4.48,3.05
3.94,6.26,2.16,3.71,8.01,1.95,4.53,3.89,2.43
3.98,6.7,2.3,4.37,10.4,1.87,5.73,4.5,2.3
6.61,10.9,4.05,6.45,12,3.44,6.69,5.88,4.1
4.54,6.47,2.38,4.1,9.26,2.27,5.17,4.74,3.01
4.3,6.94,2.32,4.26,10.2,2.04,5.58,4.79,2.68
5.37,8.73,3.16,4.56,7.59,2.88,4.63,4.44,3.64
3.86,6.15,2.16,3.36,7.12,1.95,4.09,3.6,2.45
6.13,10.8,3.81,8.3,24.1,2.3,12.3,8.98,2.9
4.11,6.84,2.32,4.6,11.1,1.95,5.91,4.78,2.34
3.52,5.57,2,2.9,5.98,1.79,3.44,3.15,2.21
3.81,6.02,2.18,3.45,7.19,1.88,4.14,3.65,2.45
5.24,8.76,3.16,4.86,9.51,2.73,5.36,4.76,3.34
4.38,7.03,2.36,4.5,10.5,2.13,5.79,4.83,2.66
4.76,8.27,3.03,5.36,12.1,2.33,6.58,5.26,2.84
4.64,6.71,2.71,4.01,8.02,2.39,4.57,4.36,3.16
4.62,8.86,2.92,6.38,19.2,1,9.63,7.31,2.28
4.1,6.64,2.22,4.25,9.98,1.96,5.44,4.54,2.49
3.68,5.92,1.7,3.91,9.58,1.68,5.17,4.22,2.09
4.49,8.59,2.86,5.84,17.2,1.73,8.79,6.87,2.46
