DEPRES,ANIETY,PRESSUR,ALTITUD,EMOTE
2,14,16,11,70
6,2,10,12,58
6,6,8,16,60
0,0,0,24,77
4,4,8,8,69
4,8,10,19,77
2,2,6,17,64
10,6,12,17,74
4,2,6,11,59
4,6,14,20,62
2,8,6,13,58
2,2,2,14,79
10,2,8,14,57
0,0,0,13,72
2,4,6,14,70
0,6,2,20,70
0,4,2,21,69
0,12,4,13,68
0,0,0,24,80
0,2,0,27,83
0,0,2,20,75
2,10,10,23,67
2,4,8,8,65
4,0,2,21,66
2,2,2,17,71
12,12,12,16,57
2,2,8,16,60
12,4,8,21,61
16,10,18,10,58
0,2,4,17,73
0,0,0,20,70
6,10,12,9,59
0,2,2,17,75
0,0,0,16,78
14,14,14,12,66
12,16,12,10,42
6,6,8,8,63
4,2,2,23,71
18,14,18,20,62
12,4,14,9,56
0,0,0,17,73
0,0,0,22,78
2,6,10,20,79
4,4,6,14,69
0,6,2,16,72
8,8,12,12,73
6,10,10,10,73
0,0,2,18,79
4,2,10,21,71
4,4,8,18,75
4,8,14,16,70
0,2,4,16,71
10,8,8,15,68
4,6,8,13,66
6,4,8,13,69
20,24,30,14,44
8,4,16,12,40
4,4,12,17,64
6,18,18,16,55
4,8,6,17,66
0,0,0,18,69
0,2,2,18,63
10,10,12,21,65
0,0,2,16,70
18,24,26,15,44
0,2,6,24,85
0,2,6,18,73
6,2,6,23,75
2,0,4,14,76
18,32,28,9,49
0,0,0,18,77
0,0,0,20,66
2,4,8,17,71
6,6,8,15,64
10,10,14,18,61
0,2,6,18,66
0,2,6,21,74
4,6,10,24,69
4,4,0,15,64
2,2,2,18,74
0,4,6,18,81
0,0,0,28,98
4,4,14,18,62
4,4,8,16,70
6,8,14,12,75
2,4,4,12,65
2,8,10,18,66
14,8,20,9,41
2,0,10,12,52
2,4,6,15,61
4,0,8,23,66
0,2,4,9,72
6,2,6,17,68
2,2,2,25,61
4,2,0,23,69
14,4,10,9,58
0,0,0,15,77
0,4,12,23,77
14,12,18,16,59
0,0,0,12,71
4,4,4,18,64
2,6,6,10,69
2,4,8,20,75
0,4,8,16,70
2,10,6,17,59
14,14,14,5,51
8,4,6,16,63
0,0,6,18,63
12,20,26,19,41
6,6,2,18,70
6,8,12,19,71
0,2,4,19,66
0,2,2,16,75
2,6,0,23,79
8,0,12,10,54
0,8,8,17,71
2,6,0,21,74
8,12,14,20,72
42,42,42,4,26
8,16,10,18,65
0,6,4,19,66
2,4,2,18,71
4,2,12,23,67
2,4,4,21,70
6,4,14,15,60
0,0,4,21,80
4,4,4,23,76
0,0,0,20,69
0,0,0,20,72
4,6,8,22,72
2,2,2,15,67
26,18,22,14,49
2,8,12,14,65
30,20,28,5,46
2,2,6,24,84
4,2,6,20,70
2,0,0,16,59
6,6,4,14,62
14,18,16,7,52
0,2,4,16,75
10,16,16,8,43
0,4,6,21,84
10,12,12,11,49
12,8,10,14,56
10,8,4,18,58
2,2,2,15,72
0,4,6,13,81
0,0,0,20,75
0,0,4,16,72
2,0,4,21,73
8,6,12,20,62
4,4,8,19,67
0,2,4,17,68
16,16,26,7,40
0,2,0,13,67
2,8,10,21,82
2,2,10,18,73
12,12,12,12,60
2,6,4,20,77
2,2,4,16,67
4,8,4,14,69
4,6,6,16,62
2,2,6,16,73
10,12,16,11,59
2,6,8,15,67
2,4,10,15,63
0,0,0,10,69
4,4,10,15,68
4,4,2,24,78
0,2,4,20,78
14,12,18,12,51
10,6,10,14,55
6,8,10,23,62
6,10,12,11,55
0,0,0,19,78
22,8,12,12,55
2,0,6,15,59
0,0,4,22,68
0,2,2,16,61
0,0,2,18,77
0,0,2,19,71
0,2,2,18,77
2,6,10,22,75
2,2,2,22,67
0,2,2,22,76
2,2,2,19,78
0,0,2,20,71
4,8,6,12,56
8,4,12,11,44
12,6,10,15,60
8,10,10,24,64
0,2,0,20,62
0,0,0,20,80
4,8,6,17,65
4,6,10,18,60
0,0,0,24,82
14,18,22,8,46
2,2,2,20,84
2,2,4,12,63
0,0,4,17,77
0,0,0,20,79
0,2,2,21,88
2,0,2,15,68
0,0,0,22,73
0,0,2,17,67
2,8,8,17,66
8,4,8,15,64
0,4,2,23,74
2,2,2,11,76
4,4,4,22,74
14,14,16,16,52
4,2,4,17,77
8,8,12,18,60
4,6,10,18,59
0,0,0,22,80
2,10,6,23,68
6,6,10,10,69
0,2,2,15,71
20,12,20,8,40
4,0,2,17,64
4,12,14,19,62
2,0,6,16,66
6,8,10,19,60
0,0,6,22,77
0,0,0,24,80
0,0,0,17,85
8,6,14,20,70
8,6,12,8,45
2,2,0,22,76
42,42,42,28,50
8,14,14,12,54
0,0,2,17,69
12,14,12,13,61
2,0,0,23,80
0,0,0,16,74
2,4,2,14,72
10,10,10,19,63
8,6,16,6,58
2,4,4,23,79
0,2,2,23,80
2,4,4,17,72
2,10,14,13,53
0,0,0,11,60
34,32,36,11,46
0,0,2,17,65
2,2,4,18,71
2,8,8,22,67
0,8,10,15,68
0,6,10,19,63
0,2,2,22,72
0,2,4,24,79
0,0,2,16,74
6,6,4,15,58
0,0,2,15,71
0,4,4,17,73
