doc_id,ivt_id,doc_exp,que1,que2,que3
1,15,3,0,0,0
2,19,7,1,1,0
3,14,20,0,0,1
4,3,9,1,0,0
5,10,17,1,1,0
6,18,11,0,1,0
7,11,9,0,1,1
8,5,12,1,1,1
9,20,6,1,1,0
10,14,16,1,0,1
11,5,4,0,1,1
12,19,14,1,1,1
13,9,11,0,0,0
14,3,11,1,1,1
15,8,14,1,1,0
16,7,6,1,0,1
17,10,4,0,1,0
18,9,9,0,1,1
19,19,16,1,1,0
20,4,13,0,0,1
21,14,21,0,1,0
22,17,5,0,0,1
23,11,11,0,1,0
24,7,25,0,1,1
25,12,10,0,1,1
26,15,14,0,0,0
27,10,14,0,1,1
28,13,18,1,1,1
29,7,10,0,0,0
30,9,16,0,0,1
31,9,1,1,0,1
32,10,6,1,1,1
33,7,10,0,1,1
34,6,7,1,1,0
35,2,11,0,1,0
36,5,1,0,0,1
37,8,13,0,1,0
38,12,8,1,0,0
39,13,8,1,1,1
40,18,9,1,1,1
41,1,7,1,1,1
42,6,1,0,1,0
43,15,13,0,0,0
44,9,10,0,1,0
45,15,-5,0,1,1
46,16,16,0,1,1
47,20,7,0,1,0
48,6,11,0,1,1
49,11,11,0,1,1
50,8,5,1,0,1
51,7,2,0,1,0
52,16,18,0,1,0
53,17,20,1,0,1
54,18,13,1,1,0
55,17,11,0,1,1
56,2,11,0,1,1
57,4,12,0,1,0
58,13,9,1,0,0
59,5,15,0,1,1
60,19,13,1,0,1
61,20,7,0,1,0
62,14,11,1,1,0
63,3,10,1,1,1
64,8,10,0,1,0
65,16,15,1,1,0
66,12,7,1,0,0
67,14,13,1,0,0
68,3,11,1,1,0
69,14,10,1,0,0
70,7,15,1,1,1
71,3,11,0,1,0
72,15,5,0,0,0
73,5,4,0,1,0
74,8,8,1,0,0
75,19,6,0,0,0
76,10,4,0,1,1
77,18,7,1,1,0
78,10,1,0,1,1
79,12,8,1,0,1
80,2,8,1,0,0
81,10,9,1,0,0
82,12,10,1,1,1
83,20,12,1,0,1
84,14,8,0,1,0
85,17,11,1,1,1
86,14,5,0,0,0
87,3,13,0,0,0
88,8,10,0,0,0
89,14,9,0,0,0
90,19,7,0,1,0
91,15,18,0,1,0
92,17,12,0,0,0
93,11,11,0,1,1
94,7,-3,0,1,0
95,15,0,1,0,1
96,6,10,0,0,1
97,14,14,0,0,0
98,7,10,0,1,1
99,10,5,0,1,1
100,5,9,1,0,0
101,6,7,1,1,0
102,16,11,0,1,1
103,11,5,0,0,0
104,4,5,1,1,0
105,12,11,1,1,1
106,14,15,0,1,0
107,19,18,1,1,1
108,7,11,0,1,1
109,9,8,0,1,0
110,7,3,0,0,0
111,2,6,0,0,1
112,16,16,0,0,0
113,13,6,0,1,0
114,19,12,1,1,1
115,20,8,1,1,1
116,15,14,1,1,0
117,7,10,0,0,1
118,4,6,0,1,0
119,1,6,0,0,1
120,8,10,0,0,0
121,20,14,1,1,1
122,16,18,0,1,1
123,11,18,1,1,1
124,16,17,1,0,1
125,20,5,0,1,1
126,8,13,0,0,0
127,3,8,1,0,0
128,4,8,0,1,0
129,20,11,1,1,1
130,12,17,0,0,1
131,17,4,1,1,1
132,10,21,1,1,1
133,20,9,1,0,0
134,11,7,0,1,1
135,8,14,0,1,1
136,14,8,1,1,1
137,13,15,1,0,1
138,2,10,0,1,0
139,11,11,1,1,0
140,13,10,0,0,0
141,14,13,0,1,0
142,6,9,0,1,0
143,8,7,0,0,0
144,12,13,0,0,1
145,4,4,0,1,0
146,13,14,1,1,0
147,14,13,0,1,1
148,16,4,1,1,0
149,1,13,0,1,0
150,8,6,0,0,0
151,8,15,1,1,0
152,10,5,1,1,0
153,8,10,0,0,0
154,18,2,1,1,0
155,9,9,0,1,0
156,7,13,0,0,0
157,7,27,0,1,1
158,10,15,1,1,1
159,11,4,1,1,1
160,1,14,0,0,1
161,19,2,1,1,1
162,10,9,1,1,0
163,13,15,1,1,1
164,11,-1,1,1,0
165,11,14,1,1,1
166,20,14,0,1,0
167,7,6,0,1,1
168,20,9,0,1,0
169,9,21,1,0,0
170,9,6,1,0,0
171,5,11,1,1,1
172,14,9,1,1,0
173,14,11,0,0,1
174,6,19,0,0,0
175,1,6,0,1,0
176,10,9,0,1,1
177,17,8,0,1,0
178,17,6,1,0,1
179,7,-1,0,0,0
180,9,9,0,1,0
181,20,-1,1,1,0
182,6,9,1,1,0
183,18,6,0,1,0
184,17,13,0,1,0
185,5,9,0,1,0
186,20,7,0,0,1
187,3,6,1,0,0
188,14,10,1,1,1
189,1,14,0,1,0
190,2,11,0,1,0
191,4,7,1,1,0
192,10,9,0,1,1
193,1,20,1,0,1
194,5,3,0,1,0
195,8,9,0,0,0
196,13,8,1,1,1
197,18,7,1,0,1
198,10,22,1,1,0
199,6,8,1,0,1
200,7,6,1,1,0
201,9,5,1,1,1
202,16,16,1,1,0
203,17,16,0,0,1
204,13,0,1,0,1
205,8,8,0,0,1
206,7,13,1,0,0
207,20,9,1,1,1
208,18,10,0,1,1
209,17,3,0,1,0
210,1,4,1,0,0
211,2,12,0,1,1
212,17,9,1,0,0
213,2,8,1,1,1
214,13,16,0,1,0
215,17,11,1,0,1
216,3,3,0,1,0
217,18,5,0,1,0
218,2,7,1,0,0
219,5,4,0,1,1
220,12,15,1,0,1
221,13,2,1,1,0
222,10,4,1,1,0
223,6,10,0,0,1
224,10,13,0,1,0
225,10,21,0,1,1
226,6,9,0,1,1
227,16,8,1,1,0
228,16,6,0,1,0
229,3,0,0,1,0
230,4,14,1,0,0
231,3,15,1,0,1
232,3,6,0,1,0
233,16,16,0,1,0
234,2,10,1,1,1
235,15,12,0,0,0
236,3,16,0,0,1
237,9,7,1,0,0
238,7,14,1,1,0
239,9,15,0,0,1
240,4,18,0,0,1
241,2,18,1,1,1
242,12,16,1,1,0
243,9,4,1,0,0
244,11,13,0,1,1
245,7,9,0,1,0
246,13,10,1,0,1
247,5,16,1,1,1
248,11,14,1,1,0
249,1,1,0,0,0
250,19,12,0,0,1
251,12,9,0,1,1
252,2,9,1,1,1
253,17,7,0,1,1
254,12,11,1,1,0
255,3,13,0,1,1
256,18,12,0,1,1
257,15,12,0,0,0
258,3,7,0,1,0
259,19,10,1,1,0
260,18,8,0,1,0
261,17,1,1,1,1
262,6,11,0,1,0
263,10,18,1,0,1
264,8,3,1,0,0
265,10,16,0,0,1
266,13,15,0,0,0
267,20,12,1,1,1
268,6,6,0,1,0
269,20,3,1,0,0
270,20,18,1,1,1
271,9,13,0,1,0
272,16,11,1,1,0
273,8,11,0,0,1
274,7,2,1,1,1
275,10,16,0,0,1
276,17,18,1,0,1
277,18,10,0,1,1
278,8,4,0,0,0
279,19,8,0,1,0
280,10,8,0,1,0
281,11,14,1,0,1
282,17,12,1,1,1
283,12,6,1,1,1
284,2,9,0,1,1
285,19,18,1,1,0
286,13,11,1,0,1
287,13,14,1,1,1
288,19,15,0,1,0
289,10,19,1,0,1
290,16,-3,1,0,0
291,5,-3,0,0,1
292,4,14,0,0,1
293,18,8,0,1,1
294,1,15,1,1,0
295,16,12,0,1,0
296,17,10,1,1,0
297,12,9,1,1,0
298,2,18,0,0,0
299,18,0,1,1,0
300,12,10,1,1,0
301,15,22,0,1,0
302,19,8,0,1,1
303,6,17,0,1,0
304,16,12,1,1,1
305,15,11,1,1,1
306,19,9,0,1,0
307,3,7,1,1,0
308,14,10,1,1,1
309,1,7,0,1,0
310,1,11,0,0,1
311,16,3,0,1,0
312,11,8,1,0,1
313,4,15,1,1,1
314,12,1,1,0,1
315,13,15,1,1,0
316,10,8,0,1,1
317,10,19,1,1,1
318,7,10,1,0,0
319,18,15,0,1,1
320,17,12,0,0,1
