id,age,weight,time,pulse,max_pul,y
1,44,89.47,11.37,178,NA,5.95
2,44,85.84,8.65,156,168,7.24
3,38,89.02,9.22,178,NA,6.65
4,40,75.98,11.95,176,180,6.09
5,44,81.42,13.08,174,176,5.26
6,44,73.03,10.13,168,168,6.74
7,45,66.45,11.12,176,176,5.97
8,54,83.12,10.33,166,170,6.91
9,51,69.63,10.95,168,172,5.44
10,48,91.63,10.25,162,164,6.24
11,57,73.37,12.63,174,176,5.25
12,52,76.32,9.63,164,166,6.06
13,51,67.25,11.08,172,172,6.02
14,51,73.71,10.47,186,NA,6.1
15,49,76.32,9.4,186,NA,6.49
16,52,82.78,10.5,170,172,6.33
17,40,75.07,10.07,185,185,6.04
18,42,68.15,8.17,166,172,7.94
19,47,77.45,11.63,176,176,5.97
20,43,81.19,10.85,162,170,6.54
21,38,81.87,8.63,NA,186,8.01
22,45,87.66,14.03,170,NA,4.98
